DATE	NAME	CIK	FIRM	SOURCE	BLACK	MALE	FEMALE	LGBT	NONBINARY	ASIAN	LATINX	DIRECTORS	NOTES	DND_GENDER	DND_DEMO
2022	XTL BIOPHARMACEUTICALS LTD	1023549	XTLB	proxy		5	2					7			
2022	XWELL, Inc.	1410428	XWEL	proxy		5						5			
2022	ATA Creativity Global	1420529	AACG	proxy											
2022	ZEVRA THERAPEUTICS, INC.	1434647	ZVRA	proxy		4	1					6		1	1
2022	Yatra Online, Inc.	1516899	YTRA	proxy									no matrix		
2022	JOYY Inc.	1530238	YY	website		5						5			
2022	ZK International Group Co., Ltd.	1687451	ZKIN	website		3	2					5			
2022	XORTX Therapeutics Inc.	1729214	XRTX	website		6	1					7			
2022	111, Inc.	1738906	YI	proxy									no matrix		
2022	Yunji Inc.	1759614	YJ	proxy									no matrix		
2022	Zhongchao Inc.	1785566	ZCMD	proxy									no matrix		
2022	XP Inc.	1787425	XP	proxy											
2022	17 Education & Technology Group Inc.	1821468	YQ	website		7						7			1
2023	ZeroFox Holdings, Inc.	1823575	ZFOX	proxy		7	1			1		8			
2022	Zenvia Inc.	1836934	ZENV	proxy									no matrix		
2022	Jin Medical International Ltd.	1837821	ZJYL	proxy									no matrix		
2022	Zura Bio Ltd	1855644	ZURA	proxy									no matrix		
2023	ZyVersa Therapeutics, Inc.	1859007	ZVSA	proxy		5				1	1	5			
2022	YanGuFang International Group Co., Ltd	1875496	YGF	proxy									no matrix		
2022	ZimVie Inc.	1876588	ZIMV	proxy		4	2			1		6			
2022	Expion360 Inc.	1894954	XPON	proxy		5				1		5	1 two+eth		
2022	Yoshiharu Global Co.	1898604	YOSH	website		3	2			5		5			
2022	Zentek Ltd.	1904501	ZTEK	website		5	1					6			
2022	Yotta Acquisition Corp	1907730	YOTA	proxy									blank check		
2022	Zymeworks Inc.	1937653	ZYME	proxy		5	3	2				8			1
2022	Zapp Electric Vehicles Group Ltd	1955104	ZAPP	proxy		6	1			2		7			
