DATE	NAME	CIK	FIRM	SOURCE	BLACK	MALE	FEMALE	LGBT	NONBINARY	ASIAN	LATINX	DIRECTORS	NOTES	DND_GENDER	DND_DEMO
2022	ATA Creativity Global	1420529	aacg	proxy											
2022	AMERICAN BATTERY TECHNOLOGY Co	1576873	abat	proxy											
2022	Abcam plc	1492074	abcm	proxy											
2022	Abacus Life, Inc.	1814287	abl	proxy											
2022	Able View Global Inc.	1957489	ablv	proxy											
2022	Alset Capital Acquisition Corp.	1897245	acax	proxy											
2022	AURORA CANNABIS INC	1683541	acb	proxy											
2022	Ace Global Business Acquisition Ltd	1844389	acba	proxy											
2022	ProFrac Holding Corp.	1881487	acdc	proxy											
2022	Achilles Therapeutics plc	1830749	achl	proxy											
2022	AMERICAN COASTAL INSURANCE Corp	1401521	acic	proxy											
2022	AC Immune SA	1651625	aciu	proxy											
2022	Arcellx, Inc.	1786205	aclx	proxy											
2022	Aclarion, Inc.	1635077	acon	proxy											
2022	Acrivon Therapeutics, Inc.	1781174	acrv	proxy											
2022	Adagene Inc.	1818838	adag	proxy											
2022	Color Star Technology Co., Ltd.	1747661	add	proxy											
2022	Adeia Inc.	1803696	adea	proxy											
2022	Edoc Acquisition Corp.	1824884	adoc	proxy											
2022	Ads-Tec Energy Public Ltd Co	1879248	adse	proxy											
2022	Addex Therapeutics Ltd.	1574232	adxn	proxy											
2022	Antelope Enterprise Holdings Ltd	1470683	aehl	proxy											
2022	ALLIANCE ENTERTAINMENT HOLDING CORP	1823584	aent	proxy											
2022	Aeterna Zentaris Inc.	1113423	aezs	proxy											
2022	Affimed N.V.	1608390	afmd	proxy											
2022	Forafric Global PLC	1903870	afri	proxy											
2022	Afya Ltd	1771007	afya	proxy											
2022	Allied Gaming & Entertainment Inc.	1708341	agae	proxy											
2022	AGBA Group Holding Ltd.	1769624	agba	proxy											
2022	AGM GROUP HOLDINGS, INC.	1705402	agmh	proxy											
2022	Akso Health Group	1702318	ahg	proxy											
2022	Advanced Health Intelligence Ltd	1815436	ahi	proxy											
2022	Aesthetic Medical International Holdings Group Ltd	1757143	aih	proxy											
2022	Ainos, Inc.	1014763	aimd	proxy											
2022	Xiao-I Corp	1935172	aixi	proxy											
2022	AKANDA CORP.	1888014	akan	proxy											
2022	Akili, Inc.	1850266	akli	proxy											
2022	Akari Therapeutics Plc	1541157	aktx	proxy											
2022	AKUMIN INC.	1776197	aku	proxy											
2022	Alarum Technologies Ltd.	1725332	alar	proxy											
2022	Avalon GloboCare Corp.	1630212	albt	proxy											
2022	Allot Ltd.	1365767	allt	proxy											
2022	ALLIENT INC	46129	alnt	proxy											
2022	AlTi Global, Inc.	1838615	alti	proxy											
2022	Alvotech	1898416	alvo	proxy											
2022	Alithya Group inc	1734520	alya	proxy											
2022	Alzamend Neuro, Inc.	1677077	alzn	proxy											
2022	Ambrx Biopharma Inc.	1836056	amam	proxy											
2022	American Acquisition Opportunity Inc.	1843656	amao	proxy											
2022	American Lithium Corp.	1699880	amli	proxy											
2022	Anghami Inc	1871983	angh	proxy											
2022	AIRNET TECHNOLOGY INC.	1413745	ante	proxy											
2022	AN2 Therapeutics, Inc.	1880438	antx	proxy											
2022	Sphere 3D Corp.	1591956	any	proxy											
2022	Arogo Capital Acquisition Corp.	1881741	aogo	proxy											
2022	American Oncology Network, Inc.	1839998	aonc	proxy											
2022	Apogee Therapeutics, Inc.	1974640	apge	proxy											
2022	Agora, Inc.	1802883	api	proxy											
2022	Aptorum Group Ltd	1734005	apm	proxy											
2022	Alpha Partners Technology Merger Corp.	1845550	aptm	proxy											
2022	ASIA PACIFIC WIRE & CABLE CORP LTD	1026980	apwc	proxy											
2022	ARB IOT Group Ltd	1930179	arbb	proxy											
2022	Arbe Robotics Ltd.	1861841	arbe	proxy											
2022	Argo Blockchain Plc	1841675	arbk	proxy											
2022	Arco Platform Ltd.	1740594	arce	proxy											
2022	AMERICAN REBEL HOLDINGS INC	1648087	areb	proxy											
2022	ARGENX SE	1697862	argx	proxy											
2022	ARM HOLDINGS PLC /UK	1973239	arm	proxy											
2022	Arqit Quantum Inc.	1859690	arqq	proxy											
2022	ARTELO BIOSCIENCES, INC.	1621221	artl	proxy											
2022	ARTESIAN RESOURCES CORP	863110	artna	proxy											
2022	Arrival	1835059	arvl	proxy											
2022	ARYA Sciences Acquisition Corp IV	1838821	aryd	proxy											
2022	ASLAN Pharmaceuticals Ltd	1722926	asln	proxy											
2022	ASML HOLDING NV	937966	asml	proxy											
2022	Ascendis Pharma A/S	1612042	asnd	proxy											
2022	ACTELIS NETWORKS INC	1141284	asns	proxy											
2022	Abri SPAC I, Inc.	1854583	aspa	proxy											
2022	ASP Isotopes Inc.	1921865	aspi	proxy											
2022	Asset Entities Inc.	1920406	asst	proxy											
2022	Ascent Solar Technologies, Inc.	1350102	asti	proxy											
2022	Algoma Steel Group Inc.	1860805	astl	proxy											
2022	Atour Lifestyle Holdings Ltd	1853717	atat	proxy											
2022	Atlas Corp.	1794846	atcol	proxy											
2022	Athira Pharma, Inc.	1620463	atha	proxy											
2022	ALTERITY THERAPEUTICS LTD	1131343	athe	proxy											
2022	ATIF Holdings Ltd	1755058	atif	proxy											
2022	Atlas Lithium Corp	1540684	atlx	proxy											
